column,dtype,n_missing,pct_missing,n_unique
id,int32,0,0.0,36403
name,category,2,0.005494052687965278,34804
host_id,int32,0,0.0,21643
host_name,category,13,0.03571134247177431,8351
neighbourhood_group,category,0,0.0,5
neighbourhood,category,0,0.0,223
latitude,float32,0,0.0,19876
longitude,float32,0,0.0,15314
room_type,category,0,0.0,4
price,float32,15124,41.54602642639343,1088
minimum_nights,int16,0,0.0,112
number_of_reviews,int32,0,0.0,498
last_review,datetime64[ns],11310,31.068867950443646,3359
reviews_per_month,float32,11310,31.068867950443646,798
calculated_host_listings_count,int16,0,0.0,69
availability_365,int16,0,0.0,366
number_of_reviews_ltm,int32,0,0.0,170
license,category,30937,84.9847540037909,1978
